_id,Date,Line,Time,Day,Station,Incident,Min Delay,Min Gap,Bound,Vehicle,,
1,2025-01-01,504,2:10,Wednesday,KING AND PARLIAMENT,Cleaning - Unsanitary,10,20,W,4569,KING AND PARLIAMENT,
2,2025-01-01,506,2:50,Wednesday,COLLEGE AND HURON,General Delay,34,49,E,4480,COLLEGE AND HURON,Visualization: Min delay vs stations
3,2025-01-01,504,3:11,Wednesday,KING AND QUEEN EAST,Operations,15,30,E,4629,KING AND QUEEN EAST,
4,2025-01-01,501,5:14,Wednesday,QUEEN AND DUFFERIN,General Delay,36,55,E,4455,QUEEN AND DUFFERIN,
5,2025-01-01,504,6:14,Wednesday,LESLIE CARHOUSE,Mechanical,10,20,E,4483,LESLIE CARHOUSE,
6,2025-01-01,504,9:02,Wednesday,KING AND JAMESON,Emergency Services,10,20,W,4606,KING AND JAMESON,
7,2025-01-01,510,11:51,Wednesday,SPADINA AND BLOOR,Operations,7,15,E,3356,SPADINA AND BLOOR,
8,2025-01-01,512,12:06,Wednesday,ST. CLAIR AND VAUGHAN,Operations,8,16,E,4403,ST. CLAIR AND VAUGHAN,
9,2025-01-01,505,13:39,Wednesday,DUNDAS AND DENISON,Mechanical,8,16,W,4584,DUNDAS AND DENISON,
10,2025-01-01,511,15:03,Wednesday,BATHURST AND DUNDAS,General Delay,47,57,S,4410,BATHURST AND DUNDAS,
11,2025-01-01,504,15:04,Wednesday,RONCESVALLES AND HOWAR,Cleaning - Unsanitary,10,20,N,4556,RONCESVALLES AND HOWAR,
12,2025-01-01,501,16:19,Wednesday,NEVILLE PARK AND QUEEN,Emergency Services,10,20,E,4453,NEVILLE PARK AND QUEEN,
13,2025-01-01,506,18:35,Wednesday,GERRARD AND JONES,Emergency Services,10,20,W,4504,GERRARD AND JONES,
14,2025-01-01,505,19:06,Wednesday,BROADVIEW AND DUNDAS,Operations,19,20,E,4473,BROADVIEW AND DUNDAS,
15,2025-01-01,501,19:19,Wednesday,HUMBER LOOP,Cleaning - Unsanitary,10,20,S,4480,HUMBER LOOP,
16,2025-01-01,511,20:40,Wednesday,BATHURST AND WELLINGTO,General Delay,9,18,S,4496,BATHURST AND WELLINGTO,
17,2025-01-01,512,21:27,Wednesday,ST CLAIR AND LANSDOWNE,Cleaning - Unsanitary,9,18,E,4618,ST CLAIR AND LANSDOWNE,
18,2025-01-01,511,22:10,Wednesday,BATHURST AND NIAGARA,Cleaning - Unsanitary,9,18,S,4422,BATHURST AND NIAGARA,
19,2025-01-01,504,22:46,Wednesday,SPRINGHURST LOOP,Security,10,20,W,4611,SPRINGHURST LOOP,
20,2025-01-01,506,0:18,Wednesday,RONCESVALLES AND THE Q,Emergency Services,None,None,S,4574,RONCESVALLES AND THE Q,
21,2025-01-01,511,1:23,Wednesday,BATHURST STATION,Emergency Services,16,25,S,4416,BATHURST STATION,
22,2025-01-02,504,3:27,Thursday,SUNNYSIDE LOOP,Emergency Services,None,None,None,4561,SUNNYSIDE LOOP,
23,2025-01-02,305,3:49,Thursday,DUNDAS AND BLOOR,Cleaning - Unsanitary,15,30,W,4499,DUNDAS AND BLOOR,
24,2025-01-02,501,4:53,Thursday,THE QUEENSWAY AND GLEN,Security,19,50,W,4586,THE QUEENSWAY AND GLEN,
25,2025-01-02,504,5:04,Thursday,KINGSTON LOOP,Security,None,None,N,4427,KINGSTON LOOP,
26,2025-01-02,507,5:14,Thursday,THE QUEENWAY AND GLEND,General Delay,None,None,W,4500,THE QUEENWAY AND GLEND,
27,2025-01-02,511,5:45,Thursday,BATHURST AND HOTSPUR,Mechanical,10,20,S,9006,BATHURST AND HOTSPUR,
28,2025-01-02,506,5:53,Thursday,GERRARD AND MAIN,Cleaning - Unsanitary,13,26,W,4442,GERRARD AND MAIN,
29,2025-01-02,507,8:14,Thursday,HUMBER LOOP,Security,40,50,None,4574,HUMBER LOOP,
30,2025-01-02,508,8:33,Thursday,HUMBER LOOP,Security,20,40,N,4453,HUMBER LOOP,
